chapter,version_a,version_b,similarity,supporting_sentence_pairs
6,bb,hs,0.40000000,1
6,bb,wb,0.40000000,1
6,bb,yz,0.40000000,1
6,fy,gd,0.45357143,8
6,fy,gd1,0.45357143,8
6,fy,hj,0.84375000,8
6,fy,hs,0.96428571,8
6,fy,wb,1.00000000,8
6,fy,yz,0.97500000,8
6,gd,gd1,0.97500000,8
6,gd,hj,0.48482143,8
6,gd,hs,0.47500000,8
6,gd,wb,0.45357143,8
6,gd,yz,0.45357143,8
6,gd1,hj,0.48482143,8
6,gd1,hs,0.47500000,8
6,gd1,wb,0.45357143,8
6,gd1,yz,0.45357143,8
6,hj,hs,0.80803571,8
6,hj,wb,0.84375000,8
6,hj,yz,0.86875000,8
6,hs,wb,0.96428571,8
6,hs,yz,0.93928571,8
6,wb,yz,0.97500000,8
7,ba,bb,0.14166667,10
7,ba,fy,0.58750000,10
7,ba,gd,0.33750000,10
7,ba,gd2,0.33750000,10
7,ba,hj,0.64583333,10
7,ba,hs,0.57500000,10
7,ba,wb,0.57500000,10
7,ba,yz,0.52500000,10
7,bb,fy,0.03333333,10
7,bb,gd,0.02500000,10
7,bb,gd2,0.02500000,10
7,bb,hj,0.19166667,10
7,bb,hs,0.05833333,10
7,bb,wb,0.08333333,10
7,bb,yz,0.05833333,10
7,fy,gd,0.37500000,10
7,fy,gd2,0.37500000,10
7,fy,hj,0.63333333,10
7,fy,hs,0.82916667,10
7,fy,wb,0.82916667,10
7,fy,yz,0.76666667,10
7,gd,gd2,0.88333333,10
7,gd,hj,0.26666667,10
7,gd,hs,0.39166667,10
7,gd,wb,0.39166667,10
7,gd,yz,0.32500000,10
7,gd2,hj,0.26666667,10
7,gd2,hs,0.39166667,10
7,gd2,wb,0.39166667,10
7,gd2,yz,0.32500000,10
7,hj,hs,0.67500000,10
7,hj,wb,0.70000000,10
7,hj,yz,0.55833333,10
7,hs,wb,0.97500000,10
7,hs,yz,0.86666667,10
7,wb,yz,0.84166667,10
8,ba,bb,0.42777778,9
8,ba,fy,0.76375661,9
8,ba,gd,0.22380952,5
8,ba,gd1,0.22380952,5
8,ba,hj,0.69126984,9
8,ba,hs,0.73042328,9
8,ba,wb,0.73839286,8
8,ba,yz,0.76746032,9
8,bb,fy,0.41587302,9
8,bb,gd,0.16666667,5
8,bb,gd1,0.16666667,5
8,bb,hj,0.38042328,9
8,bb,hs,0.37883598,9
8,bb,wb,0.38869048,8
8,bb,yz,0.41587302,9
8,fy,gd,0.30380952,5
8,fy,gd1,0.30380952,5
8,fy,hj,0.82380952,9
8,fy,hs,0.90000000,9
8,fy,wb,0.95416667,8
8,fy,yz,0.91481481,9
8,gd,gd1,0.97142857,5
8,gd,hj,0.33428571,5
8,gd,hs,0.28238095,5
8,gd,wb,0.33214286,4
8,gd,yz,0.37238095,5
8,gd1,hj,0.33428571,5
8,gd1,hs,0.28238095,5
8,gd1,wb,0.33214286,4
8,gd1,yz,0.37238095,5
8,hj,hs,0.78677249,9
8,hj,wb,0.84464286,8
8,hj,yz,0.80158730,9
8,hs,wb,0.93333333,8
8,hs,yz,0.94074074,9
8,wb,yz,0.95000000,8
9,ba,bb,0.51111111,9
9,ba,fy,0.41666667,9
9,ba,hj,0.51111111,9
9,ba,hs,0.37777778,9
9,ba,wb,0.37777778,9
9,ba,yz,0.35000000,9
9,bb,fy,0.47777778,9
9,bb,hj,0.46111111,9
9,bb,hs,0.46111111,9
9,bb,wb,0.46111111,9
9,bb,yz,0.43333333,9
9,fy,hj,0.57777778,9
9,fy,hs,0.80555556,9
9,fy,wb,0.76851852,9
9,fy,yz,0.76851852,9
9,hj,hs,0.58333333,9
9,hj,wb,0.58333333,9
9,hj,yz,0.55555556,9
9,hs,wb,0.96296296,9
9,hs,yz,0.96296296,9
9,wb,yz,0.92592593,9
10,ba,bb,0.10000000,2
10,ba,fy,0.10000000,2
10,ba,gd,0.00000000,2
10,ba,gd2,0.00000000,2
10,ba,hj,0.10000000,2
10,ba,hs,0.12500000,2
10,ba,wb,0.12500000,2
10,ba,yz,0.12500000,2
10,bb,fy,0.45833333,8
10,bb,gd,0.37000000,5
10,bb,gd2,0.37000000,5
10,bb,hj,0.46205357,8
10,bb,hs,0.47410714,8
10,bb,wb,0.47410714,8
10,bb,yz,0.40901361,7
10,fy,gd,0.50000000,5
10,fy,gd2,0.50000000,5
10,fy,hj,0.61875000,8
10,fy,hs,0.76577381,8
10,fy,wb,0.76577381,8
10,fy,yz,0.81785714,7
10,gd,gd2,0.95000000,5
10,gd,hj,0.40000000,5
10,gd,hs,0.43333333,5
10,gd,wb,0.43333333,5
10,gd,yz,0.29375000,4
10,gd2,hj,0.40000000,5
10,gd2,hs,0.43333333,5
10,gd2,wb,0.43333333,5
10,gd2,yz,0.29375000,4
10,hj,hs,0.58839286,8
10,hj,wb,0.58839286,8
10,hj,yz,0.63316327,7
10,hs,wb,1.00000000,8
10,hs,yz,0.75969388,7
10,wb,yz,0.75969388,7
11,ba,bb,0.20467033,13
11,ba,fy,0.40439560,13
11,ba,hj,0.43162393,13
11,ba,hs,0.37875458,13
11,ba,wb,0.39249084,13
11,ba,yz,0.39157509,13
11,bb,fy,0.37967033,13
11,bb,hj,0.42942613,13
11,bb,hs,0.36868132,13
11,bb,wb,0.36868132,13
11,bb,yz,0.34304029,13
11,fy,hj,0.61684982,13
11,fy,hs,0.76666667,13
11,fy,wb,0.80833333,13
11,fy,yz,0.86923077,13
11,hj,hs,0.61868132,13
11,hj,wb,0.62722833,13
11,hj,yz,0.63150183,13
11,hs,wb,0.91346154,13
11,hs,yz,0.79230769,13
11,wb,yz,0.78269231,13
12,ba,bb,0.48814815,15
12,ba,fy,0.52936508,15
12,ba,hj,0.54814815,15
12,ba,hs,0.47222222,15
12,ba,wb,0.48333333,15
12,ba,yz,0.51666667,15
12,bb,fy,0.42539683,15
12,bb,hj,0.50925926,15
12,bb,hs,0.40000000,15
12,bb,wb,0.40000000,15
12,bb,yz,0.43333333,15
12,fy,hj,0.77962963,15
12,fy,hs,0.86111111,15
12,fy,wb,0.90026455,15
12,fy,yz,0.88015873,15
12,hj,hs,0.70962963,15
12,hj,wb,0.73185185,15
12,hj,yz,0.75851852,15
12,hs,wb,0.95833333,15
12,hs,yz,0.88111111,15
12,wb,yz,0.90611111,15
13,ba,bb,0.55138889,16
13,ba,fy,0.55018939,16
13,ba,hj,0.67916667,16
13,ba,hs,0.54706439,16
13,ba,wb,0.56268939,16
13,ba,yz,0.53407407,15
13,bb,fy,0.53967803,16
13,bb,hj,0.61284722,16
13,bb,hs,0.53186553,16
13,bb,wb,0.56311553,16
13,bb,yz,0.51777778,15
13,fy,hj,0.74180871,16
13,fy,hs,0.91421569,17
13,fy,wb,0.94362745,17
13,fy,yz,0.84280303,16
13,hj,hs,0.76524621,16
13,hj,wb,0.76524621,16
13,hj,yz,0.71314815,15
13,hs,wb,0.97058824,17
13,hs,yz,0.90269886,16
13,wb,yz,0.88707386,16
14,ba,bb,0.63888889,18
14,ba,fy,0.63425926,18
14,ba,gd,0.34722222,6
14,ba,gd2,0.34722222,6
14,ba,hj,0.64814815,18
14,ba,hs,0.60185185,18
14,ba,wb,0.64351852,18
14,ba,yz,0.65740741,18
14,bb,fy,0.52192982,19
14,bb,gd,0.33333333,6
14,bb,gd2,0.33333333,6
14,bb,hj,0.54385965,19
14,bb,hs,0.51754386,19
14,bb,wb,0.54385965,19
14,bb,yz,0.54385965,19
14,fy,gd,0.33333333,6
14,fy,gd2,0.33333333,6
14,fy,hj,0.82456140,19
14,fy,hs,0.92543860,19
14,fy,wb,0.95175439,19
14,fy,yz,0.97807018,19
14,gd,gd2,0.95833333,6
14,gd,hj,0.38888889,6
14,gd,hs,0.33333333,6
14,gd,wb,0.33333333,6
14,gd,yz,0.33333333,6
14,gd2,hj,0.38888889,6
14,gd2,hs,0.33333333,6
14,gd2,wb,0.33333333,6
14,gd2,yz,0.33333333,6
14,hj,hs,0.77631579,19
14,hj,wb,0.80263158,19
14,hj,yz,0.82894737,19
14,hs,wb,0.94736842,19
14,hs,yz,0.94736842,19
14,wb,yz,0.97368421,19
15,ba,bb,0.55952381,14
15,ba,fy,0.45238095,14
15,ba,hj,0.48809524,14
15,ba,hs,0.45238095,14
15,ba,wb,0.45238095,14
15,ba,yz,0.45238095,14
15,bb,fy,0.64523810,14
15,bb,hj,0.70595238,14
15,bb,hs,0.63928571,14
15,bb,wb,0.66071429,14
15,bb,yz,0.64880952,14
15,fy,hj,0.76190476,14
15,fy,hs,0.85714286,14
15,fy,wb,0.87500000,14
15,fy,yz,0.77976190,14
15,hj,hs,0.81428571,14
15,hj,wb,0.83928571,14
15,hj,yz,0.83333333,14
15,hs,wb,0.93928571,14
15,hs,yz,0.88214286,14
15,wb,yz,0.87500000,14
16,ba,bb,0.19899749,19
16,ba,fy,0.29273810,20
16,ba,gd,0.22938596,19
16,ba,gd2,0.22938596,19
16,ba,hj,0.29458333,20
16,ba,hs,0.26357143,20
16,ba,wb,0.27071429,20
16,ba,yz,0.26357143,20
16,bb,fy,0.57180451,19
16,bb,gd,0.38209877,18
16,bb,gd2,0.38209877,18
16,bb,hj,0.70745614,19
16,bb,hs,0.54636591,19
16,bb,wb,0.56704261,19
16,bb,yz,0.56098580,19
16,fy,gd,0.44722222,19
16,fy,gd2,0.44722222,19
16,fy,hj,0.77180556,20
16,fy,hs,0.85638889,20
16,fy,wb,0.86174603,20
16,fy,yz,0.84527778,20
16,gd,gd2,0.92631579,19
16,gd,hj,0.38888889,19
16,gd,hs,0.37353801,19
16,gd,wb,0.38011696,19
16,gd,yz,0.36769006,19
16,gd2,hj,0.38888889,19
16,gd2,hs,0.37353801,19
16,gd2,wb,0.38011696,19
16,gd2,yz,0.36769006,19
16,hj,hs,0.76875000,20
16,hj,wb,0.80000000,20
16,hj,yz,0.79375000,20
16,hs,wb,0.96785714,20
16,hs,yz,0.93750000,20
16,wb,yz,0.95535714,20
17,ba,bb,0.52797619,16
17,ba,fy,0.56696429,16
17,ba,gd,0.48616402,15
17,ba,gd1,0.48616402,15
17,ba,hj,0.60808532,16
17,ba,hs,0.57500000,16
17,ba,wb,0.61875000,16
17,ba,yz,0.55699405,16
17,bb,fy,0.56230159,16
17,bb,gd,0.41801587,15
17,bb,gd1,0.41801587,15
17,bb,hj,0.61904762,16
17,bb,hs,0.56651786,16
17,bb,wb,0.60505952,16
17,bb,yz,0.54851190,16
17,fy,gd,0.48325397,15
17,fy,gd1,0.48325397,15
17,fy,hj,0.68779762,16
17,fy,hs,0.86293184,17
17,fy,wb,0.90214753,17
17,fy,yz,0.75999066,17
17,gd,gd1,0.91880952,15
17,gd,hj,0.56986772,15
17,gd,hs,0.45246032,15
17,gd,wb,0.51023810,15
17,gd,yz,0.45269841,15
17,gd1,hj,0.56986772,15
17,gd1,hs,0.45246032,15
17,gd1,wb,0.51023810,15
17,gd1,yz,0.45269841,15
17,hj,hs,0.67440476,16
17,hj,wb,0.73898810,16
17,hj,yz,0.64449405,16
17,hs,wb,0.90326797,17
17,hs,yz,0.80126050,17
17,wb,yz,0.80508870,17
18,ba,bb,0.67232143,16
18,ba,fy,0.55104167,16
18,ba,gd,0.58623512,16
18,ba,gd1,0.58623512,16
18,ba,hj,0.66979167,16
18,ba,hs,0.56041667,16
18,ba,wb,0.52916667,16
18,ba,yz,0.50625000,16
18,bb,fy,0.50401786,16
18,bb,gd,0.56852679,16
18,bb,gd1,0.56852679,16
18,bb,hj,0.64315476,16
18,bb,hs,0.52857143,16
18,bb,wb,0.50773810,16
18,bb,yz,0.48630952,16
18,fy,gd,0.38311012,16
18,fy,gd1,0.38311012,16
18,fy,hj,0.71458333,16
18,fy,hs,0.95416667,16
18,fy,wb,0.90208333,16
18,fy,yz,0.87916667,16
18,gd,gd1,0.92492560,16
18,gd,hj,0.54144345,16
18,gd,hs,0.40811012,16
18,gd,wb,0.37834821,16
18,gd,yz,0.37834821,16
18,gd1,hj,0.54144345,16
18,gd1,hs,0.40811012,16
18,gd1,wb,0.37834821,16
18,gd1,yz,0.37834821,16
18,hj,hs,0.72395833,16
18,hj,wb,0.69270833,16
18,hj,yz,0.66979167,16
18,hs,wb,0.93750000,16
18,hs,yz,0.90416667,16
18,wb,yz,0.92291667,16
19,ba,bb,0.51988796,17
19,ba,fy,0.47105509,17
19,ba,gd,0.41855742,17
19,ba,gd1,0.41855742,17
19,ba,hj,0.53130252,17
19,ba,hs,0.50805322,17
19,ba,wb,0.50805322,17
19,ba,yz,0.47443978,17
19,bb,fy,0.55770308,17
19,bb,gd,0.47675070,17
19,bb,gd1,0.47675070,17
19,bb,hj,0.63354342,17
19,bb,hs,0.60287115,17
19,bb,wb,0.58816527,17
19,bb,yz,0.56295518,17
19,fy,gd,0.44337068,17
19,fy,gd1,0.44337068,17
19,fy,hj,0.64337068,17
19,fy,hs,0.83373016,18
19,fy,wb,0.84761905,18
19,fy,yz,0.76134454,17
19,gd,gd1,0.94936975,17
19,gd,hj,0.61141457,17
19,gd,hs,0.43053221,17
19,gd,wb,0.43053221,17
19,gd,yz,0.47254902,17
19,gd1,hj,0.61141457,17
19,gd1,hs,0.43053221,17
19,gd1,wb,0.43053221,17
19,gd1,yz,0.47254902,17
19,hj,hs,0.67492997,17
19,hj,wb,0.66022409,17
19,hj,yz,0.71204482,17
19,hs,wb,0.97222222,18
19,hs,yz,0.88487395,17
19,wb,yz,0.91428571,17
20,ba,bb,0.34375000,8
20,ba,fy,0.28125000,8
20,ba,hj,0.25000000,8
20,ba,hs,0.31250000,8
20,ba,wb,0.31250000,8
20,ba,yz,0.31250000,8
20,bb,fy,0.41944444,18
20,bb,hj,0.28214286,14
20,bb,hs,0.40833333,18
20,bb,wb,0.40833333,18
20,bb,yz,0.34285714,14
20,fy,hj,0.48928571,14
20,fy,hs,0.82222222,18
20,fy,wb,0.85000000,18
20,fy,yz,0.82142857,14
20,hj,hs,0.50476190,14
20,hj,wb,0.50476190,14
20,hj,yz,0.50119048,14
20,hs,wb,0.90277778,18
20,hs,yz,0.87857143,14
20,wb,yz,0.93214286,14
21,ba,bb,0.51904762,5
21,ba,fy,0.60714286,5
21,ba,gd,0.43571429,5
21,ba,gd2,0.43571429,5
21,ba,hj,0.65571429,5
21,ba,hs,0.60714286,5
21,ba,wb,0.60714286,5
21,ba,yz,0.54523810,5
21,bb,fy,0.46367521,13
21,bb,gd,0.46817072,13
21,bb,gd2,0.46817072,13
21,bb,hj,0.59181929,13
21,bb,hs,0.47008547,13
21,bb,wb,0.47008547,13
21,bb,yz,0.50649351,11
21,fy,gd,0.41566767,13
21,fy,gd2,0.41566767,13
21,fy,hj,0.56172161,13
21,fy,hs,0.92170330,13
21,fy,wb,0.95512821,13
21,fy,yz,0.82792208,11
21,gd,gd2,0.84265734,13
21,gd,hj,0.47415917,13
21,gd,hs,0.43431568,13
21,gd,wb,0.43431568,13
21,gd,yz,0.44254231,11
21,gd2,hj,0.47415917,13
21,gd2,hs,0.43431568,13
21,gd2,wb,0.43431568,13
21,gd2,yz,0.44254231,11
21,hj,hs,0.56813187,13
21,hj,wb,0.56813187,13
21,hj,yz,0.71380952,15
21,hs,wb,0.96657509,13
21,hs,yz,0.86363636,11
21,wb,yz,0.83549784,11
22,ba,bb,0.62116402,9
22,ba,fy,0.53941799,9
22,ba,hj,0.58121693,9
22,ba,hs,0.54682540,9
22,ba,wb,0.54682540,9
22,ba,yz,0.54682540,9
22,bb,fy,0.69867725,9
22,bb,hj,0.76375661,9
22,bb,hs,0.71349206,9
22,bb,wb,0.71349206,9
22,bb,yz,0.65714286,9
22,fy,hj,0.89417989,9
22,fy,hs,0.96296296,9
22,fy,wb,0.96296296,9
22,fy,yz,0.90462963,9
22,hj,hs,0.92380952,9
22,hj,wb,0.90899471,9
22,hj,yz,0.85264550,9
22,hs,wb,0.95925926,9
22,hs,yz,0.90092593,9
22,wb,yz,0.94166667,9
23,ba,bb,0.54494048,16
23,ba,fy,0.54265873,16
23,ba,hj,0.53616071,16
23,ba,hs,0.58820106,15
23,ba,wb,0.60153439,15
23,ba,yz,0.54153439,15
23,bb,fy,0.55989583,16
23,bb,hj,0.51815476,16
23,bb,hs,0.55880952,15
23,bb,wb,0.57214286,15
23,bb,yz,0.54325397,15
23,fy,hj,0.53229167,16
23,fy,hs,0.86611111,15
23,fy,wb,0.85277778,15
23,fy,yz,0.78179894,15
23,hj,hs,0.52000000,15
23,hj,wb,0.53333333,15
23,hj,yz,0.47444444,15
23,hs,wb,0.98666667,15
23,hs,yz,0.82314815,15
23,wb,yz,0.83425926,15
24,ba,bb,0.73412698,16
24,ba,fy,0.66413690,16
24,ba,hj,0.81741363,17
24,ba,hs,0.68891369,16
24,ba,wb,0.70262897,16
24,ba,yz,0.70262897,16
24,bb,fy,0.65431548,16
24,bb,hj,0.74280754,16
24,bb,hs,0.64384921,16
24,bb,wb,0.66364087,16
24,bb,yz,0.67971230,16
24,fy,hj,0.78219246,16
24,fy,hs,0.84360119,16
24,fy,wb,0.88683036,16
24,fy,yz,0.88571429,16
24,hj,hs,0.77884425,16
24,hj,wb,0.80505952,16
24,hj,yz,0.83005952,16
24,hs,wb,0.93628472,16
24,hs,yz,0.89871032,16
24,wb,yz,0.93013393,16
25,ba,bb,0.19665179,16
25,ba,fy,0.50957672,15
25,ba,gd,0.43163265,7
25,ba,gd1,0.43163265,7
25,ba,hj,0.51279762,16
25,ba,hs,0.49142857,15
25,ba,wb,0.46142857,15
25,ba,yz,0.45571429,15
25,bb,fy,0.25037037,15
25,bb,gd,0.26258503,7
25,bb,gd1,0.26258503,7
25,bb,hj,0.26696429,16
25,bb,hs,0.24865079,15
25,bb,wb,0.24865079,15
25,bb,yz,0.16412698,15
25,fy,gd,0.39965986,7
25,fy,gd1,0.39965986,7
25,fy,hj,0.81169312,15
25,fy,hs,0.92899471,15
25,fy,wb,0.90899471,15
25,fy,yz,0.85439153,15
25,gd,gd1,0.91530612,7
25,gd,hj,0.36394558,7
25,gd,hs,0.41394558,7
25,gd,wb,0.41394558,7
25,gd,yz,0.35884354,7
25,gd1,hj,0.36394558,7
25,gd1,hs,0.41394558,7
25,gd1,wb,0.41394558,7
25,gd1,yz,0.35884354,7
25,hj,hs,0.82555556,15
25,hj,wb,0.80388889,15
25,hj,yz,0.75650794,15
25,hs,wb,0.95333333,15
25,hs,yz,0.87095238,15
25,wb,yz,0.82428571,15
26,ba,bb,0.70000000,5
26,ba,fy,0.39285714,7
26,ba,gd,0.38888889,9
26,ba,gd1,0.38888889,9
26,ba,hj,0.52142857,7
26,ba,hs,0.35714286,7
26,ba,wb,0.35714286,7
26,ba,yz,0.46428571,7
26,bb,fy,0.58333333,6
26,bb,gd,0.29166667,6
26,bb,gd1,0.29166667,6
26,bb,hj,0.75000000,6
26,bb,hs,0.54166667,6
26,bb,wb,0.54166667,6
26,bb,yz,0.66666667,6
26,fy,gd,0.26071429,12
26,fy,gd1,0.26071429,12
26,fy,hj,0.70416667,12
26,fy,hs,0.84027778,12
26,fy,wb,0.84027778,12
26,fy,yz,0.77777778,12
26,gd,gd1,0.85416667,16
26,gd,hj,0.31567460,12
26,gd,hs,0.24484127,12
26,gd,wb,0.24484127,12
26,gd,yz,0.23988095,12
26,gd1,hj,0.31567460,12
26,gd1,hs,0.24484127,12
26,gd1,wb,0.24484127,12
26,gd1,yz,0.23988095,12
26,hj,hs,0.64583333,12
26,hj,wb,0.64583333,12
26,hj,yz,0.72916667,12
26,hs,wb,0.97916667,12
26,hs,yz,0.84166667,12
26,wb,yz,0.82083333,12
27,ba,bb,0.46822917,16
27,ba,fy,0.45816327,14
27,ba,gd,0.19537130,13
27,ba,gd1,0.19537130,13
27,ba,gd3,0.27040816,14
27,ba,hj,0.55096726,16
27,ba,hs,0.47423469,14
27,ba,wb,0.47423469,14
27,ba,yz,0.46403061,14
27,bb,fy,0.70223923,14
27,bb,gd,0.44292929,13
27,bb,gd1,0.44292929,13
27,bb,gd3,0.41870748,14
27,bb,hj,0.67812500,16
27,bb,hs,0.68350340,14
27,bb,wb,0.71524943,14
27,bb,yz,0.68052721,14
27,fy,gd,0.42793873,13
27,fy,gd1,0.42793873,13
27,fy,gd3,0.44104308,14
27,fy,hj,0.83920068,14
27,fy,hs,0.93642290,14
27,fy,wb,0.95229592,14
27,fy,yz,0.90399660,14
27,gd,gd1,0.97179487,13
27,gd,gd3,0.47376512,13
27,gd,hj,0.44631480,13
27,gd,hs,0.40864691,13
27,gd,wb,0.42574093,13
27,gd,yz,0.39582640,13
27,gd1,gd3,0.47376512,13
27,gd1,hj,0.44631480,13
27,gd1,hs,0.40864691,13
27,gd1,wb,0.42574093,13
27,gd1,yz,0.39582640,13
27,gd3,hj,0.45671769,14
27,gd3,hs,0.47967687,14
27,gd3,wb,0.46578798,14
27,gd3,yz,0.45884354,14
27,hj,hs,0.80841837,14
27,hj,wb,0.83562925,14
27,hj,yz,0.80459184,14
27,hs,wb,0.98412698,14
27,hs,yz,0.95595238,14
27,wb,yz,0.95000000,14
28,ba,bb,0.64950980,17
28,ba,fy,0.55980392,17
28,ba,hj,0.47500000,17
28,ba,hs,0.43235294,17
28,ba,wb,0.47156863,17
28,ba,yz,0.42058824,17
28,bb,fy,0.65098039,17
28,bb,hj,0.55392157,17
28,bb,hs,0.52941176,17
28,bb,wb,0.56274510,17
28,bb,yz,0.52647059,17
28,fy,hj,0.54019608,17
28,fy,hs,0.81960784,17
28,fy,wb,0.83137255,17
28,fy,yz,0.80686275,17
28,hj,hs,0.57549020,17
28,hj,wb,0.55294118,17
28,hj,yz,0.56078431,17
28,hs,wb,0.92450980,17
28,hs,yz,0.94411765,17
28,wb,yz,0.87058824,17
29,ba,bb,0.69727633,12
29,ba,fy,0.50856181,12
29,ba,gd,0.38203163,12
29,ba,gd1,0.38203163,12
29,ba,hj,0.55379690,12
29,ba,hs,0.49615500,12
29,ba,wb,0.47763648,12
29,ba,yz,0.47165103,12
29,bb,fy,0.59250541,12
29,bb,gd,0.40532407,12
29,bb,gd1,0.40532407,12
29,bb,hj,0.65888348,12
29,bb,hs,0.56405423,12
29,bb,wb,0.55479497,12
29,bb,yz,0.52632275,12
29,fy,gd,0.35850168,12
29,fy,gd1,0.35850168,12
29,fy,hj,0.79088805,12
29,fy,hs,0.89642256,12
29,fy,wb,0.87261304,12
